subject_id,concept,image_id,response,SubjNum,Emotion,AssocCond,Version,Palette,ColorOrder,YOrder,plot
081p6mmlqm,Fearful,images/39_Fearful_hi_hi_3_tab10new_ascend_smlg_dot.png,0.35,39,fearful,hi_hi,3,tab10new,ascend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_lo_2_tab20b_ascend_smlg_dot.png,0.655,39,fearful,hi_lo,2,tab20b,ascend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_lo_3_Accent_decend_lgsm_dot.png,0.9425,39,fearful,hi_lo,3,Accent,decend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_lo_1_tab20_ascend_smlg_dot.png,0.375,39,fearful,hi_lo,1,tab20,ascend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_lo_1_tab20_ascend_lgsm_dot.png,0.53,39,fearful,hi_lo,1,tab20,ascend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_md_2_tab10new_decend_lgsm_dot.png,0.4225,39,fearful,hi_md,2,tab10new,decend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_lo_3_Accent_ascend_smlg_dot.png,0.4475,39,fearful,hi_lo,3,Accent,ascend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_med_med_3_tab20b_ascend_lgsm_dot.png,0.4025,39,fearful,med_med,3,tab20b,ascend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_med_med_1_tab20c_ascend_lgsm_dot.png,0.3375,39,fearful,med_med,1,tab20c,ascend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_lo_lo_1_Pastel1_decend_smlg_dot.png,0.345,39,fearful,lo_lo,1,Pastel1,decend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_med_lo_3_tab20_decend_lgsm_dot.png,0.345,39,fearful,med_lo,3,tab20,decend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_lo_1_tab20_decend_lgsm_dot.png,0.64,39,fearful,hi_lo,1,tab20,decend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_lo_3_Accent_decend_smlg_dot.png,0.64,39,fearful,hi_lo,3,Accent,decend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_lo_lo_3_tab20c_decend_smlg_dot.png,0.3925,39,fearful,lo_lo,3,tab20c,decend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_hi_1_tab20b_ascend_lgsm_dot.png,0.715,39,fearful,hi_hi,1,tab20b,ascend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_md_3_tab20_decend_smlg_dot.png,0.295,39,fearful,hi_md,3,tab20,decend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_lo_lo_2_Set3_ascend_lgsm_dot.png,0.645,39,fearful,lo_lo,2,Set3,ascend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_med_med_2_tab20_decend_lgsm_dot.png,0.4,39,fearful,med_med,2,tab20,decend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_hi_1_tab20b_decend_smlg_dot.png,0.6875,39,fearful,hi_hi,1,tab20b,decend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_md_1_tab20b_decend_lgsm_dot.png,0.6875,39,fearful,hi_md,1,tab20b,decend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_lo_lo_3_tab20c_decend_lgsm_dot.png,0.4425,39,fearful,lo_lo,3,tab20c,decend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_md_2_tab10new_ascend_lgsm_dot.png,0.67,39,fearful,hi_md,2,tab10new,ascend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_md_1_tab20b_ascend_smlg_dot.png,0.345,39,fearful,hi_md,1,tab20b,ascend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_med_med_1_tab20c_decend_smlg_dot.png,0.67,39,fearful,med_med,1,tab20c,decend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_med_lo_3_tab20_ascend_lgsm_dot.png,0.67,39,fearful,med_lo,3,tab20,ascend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_lo_2_tab20b_decend_lgsm_dot.png,0.3925,39,fearful,hi_lo,2,tab20b,decend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_lo_lo_1_Pastel1_ascend_lgsm_dot.png,0.725,39,fearful,lo_lo,1,Pastel1,ascend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_hi_3_tab10new_decend_smlg_dot.png,0.605,39,fearful,hi_hi,3,tab10new,decend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_hi_2_tab20_decend_smlg_dot.png,0.61,39,fearful,hi_hi,2,tab20,decend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_hi_1_tab20b_decend_lgsm_dot.png,0.705,39,fearful,hi_hi,1,tab20b,decend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_lo_lo_2_Set3_decend_smlg_dot.png,0.7025,39,fearful,lo_lo,2,Set3,decend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_med_med_1_tab20c_decend_lgsm_dot.png,0.41,39,fearful,med_med,1,tab20c,decend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_med_lo_1_Pastel1_ascend_smlg_dot.png,0.7175,39,fearful,med_lo,1,Pastel1,ascend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_md_3_tab20_ascend_smlg_dot.png,0.72,39,fearful,hi_md,3,tab20,ascend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_med_lo_1_Pastel1_decend_smlg_dot.png,0.72,39,fearful,med_lo,1,Pastel1,decend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_med_lo_2_Set3_decend_lgsm_dot.png,0.3725,39,fearful,med_lo,2,Set3,decend,lgsm,dot
081p6mmlqm,Fearful,images/39_Fearful_med_lo_2_Set3_decend_smlg_dot.png,0.3725,39,fearful,med_lo,2,Set3,decend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_med_lo_3_tab20_decend_smlg_dot.png,0.655,39,fearful,med_lo,3,tab20,decend,smlg,dot
081p6mmlqm,Fearful,images/39_Fearful_hi_hi_2_tab20_ascend_lgsm_dot.png,0.655,39,fearful,hi_hi,2,tab20,ascend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_med_lo_2_Pastel2_decend_smlg_dot.png,0.32,39,angry,med_lo,2,Pastel2,decend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_med_med_3_Set1_ascend_lgsm_dot.png,0.65,39,angry,med_med,3,Set1,ascend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_lo_lo_1_tab20c_ascend_lgsm_dot.png,0.665,39,angry,lo_lo,1,tab20c,ascend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_hi_hi_2_Paired_decend_smlg_dot.png,0.395,39,angry,hi_hi,2,Paired,decend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_hi_lo_2_tab20c_ascend_lgsm_dot.png,0.685,39,angry,hi_lo,2,tab20c,ascend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_med_lo_1_tab20c_decend_lgsm_dot.png,0.375,39,angry,med_lo,1,tab20c,decend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_hi_md_1_Set1_decend_smlg_dot.png,0.345,39,angry,hi_md,1,Set1,decend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_lo_lo_2_Pastel1_decend_smlg_dot.png,0.275,39,angry,lo_lo,2,Pastel1,decend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_hi_md_2_tab20_decend_smlg_dot.png,0.615,39,angry,hi_md,2,tab20,decend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_hi_lo_3_Paired_ascend_lgsm_dot.png,0.245,39,angry,hi_lo,3,Paired,ascend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_med_lo_1_tab20c_decend_smlg_dot.png,0.2675,39,angry,med_lo,1,tab20c,decend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_hi_hi_1_tab20_decend_lgsm_dot.png,0.605,39,angry,hi_hi,1,tab20,decend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_hi_hi_2_Paired_ascend_smlg_dot.png,0.2575,39,angry,hi_hi,2,Paired,ascend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_hi_lo_2_tab20c_ascend_smlg_dot.png,0.5775,39,angry,hi_lo,2,tab20c,ascend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_lo_lo_3_Pastel2_decend_smlg_dot.png,0.3475,39,angry,lo_lo,3,Pastel2,decend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_med_lo_1_tab20c_ascend_smlg_dot.png,0.7275,39,angry,med_lo,1,tab20c,ascend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_lo_lo_3_Pastel2_ascend_lgsm_dot.png,0.7475,39,angry,lo_lo,3,Pastel2,ascend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_med_med_1_tab20b_ascend_smlg_dot.png,0.315,39,angry,med_med,1,tab20b,ascend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_med_lo_3_Pastel1_decend_lgsm_dot.png,0.655,39,angry,med_lo,3,Pastel1,decend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_hi_hi_1_tab20_ascend_smlg_dot.png,0.275,39,angry,hi_hi,1,tab20,ascend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_hi_lo_1_tab20_ascend_lgsm_dot.png,0.7075,39,angry,hi_lo,1,tab20,ascend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_med_lo_3_Pastel1_ascend_lgsm_dot.png,0.645,39,angry,med_lo,3,Pastel1,ascend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_med_med_1_tab20b_ascend_lgsm_dot.png,0.645,39,angry,med_med,1,tab20b,ascend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_med_lo_1_tab20c_ascend_lgsm_dot.png,0.3325,39,angry,med_lo,1,tab20c,ascend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_hi_lo_2_tab20c_decend_lgsm_dot.png,0.715,39,angry,hi_lo,2,tab20c,decend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_hi_lo_1_tab20_decend_smlg_dot.png,0.7125,39,angry,hi_lo,1,tab20,decend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_lo_lo_2_Pastel1_decend_lgsm_dot.png,0.7125,39,angry,lo_lo,2,Pastel1,decend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_hi_md_3_Paired_decend_lgsm_dot.png,0.4975,39,angry,hi_md,3,Paired,decend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_hi_hi_2_Paired_ascend_lgsm_dot.png,0.495,39,angry,hi_hi,2,Paired,ascend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_lo_lo_1_tab20c_ascend_smlg_dot.png,0.1625,39,angry,lo_lo,1,tab20c,ascend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_hi_hi_2_Paired_decend_lgsm_dot.png,0.155,39,angry,hi_hi,2,Paired,decend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_hi_lo_3_Paired_decend_lgsm_dot.png,0.715,39,angry,hi_lo,3,Paired,decend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_hi_lo_3_Paired_ascend_smlg_dot.png,0.77,39,angry,hi_lo,3,Paired,ascend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_lo_lo_2_Pastel1_ascend_lgsm_dot.png,0.265,39,angry,lo_lo,2,Pastel1,ascend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_hi_hi_3_tab10new_decend_smlg_dot.png,0.75,39,angry,hi_hi,3,tab10new,decend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_hi_md_3_Paired_decend_smlg_dot.png,0.715,39,angry,hi_md,3,Paired,decend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_med_med_2_Paired_ascend_lgsm_dot.png,0.715,39,angry,med_med,2,Paired,ascend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_hi_lo_1_tab20_ascend_smlg_dot.png,0.715,39,angry,hi_lo,1,tab20,ascend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_hi_lo_1_tab20_decend_lgsm_dot.png,0.715,39,angry,hi_lo,1,tab20,decend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_hi_hi_3_tab10new_ascend_smlg_dot.png,0.715,39,angry,hi_hi,3,tab10new,ascend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_med_med_3_Set1_ascend_smlg_dot.png,0.715,39,angry,med_med,3,Set1,ascend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_med_lo_2_Pastel2_ascend_lgsm_dot.png,0.585,39,angry,med_lo,2,Pastel2,ascend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_lo_lo_3_Pastel2_ascend_smlg_dot.png,0.41,39,angry,lo_lo,3,Pastel2,ascend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_hi_hi_1_tab20_ascend_lgsm_dot.png,0.6175,39,angry,hi_hi,1,tab20,ascend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_hi_md_1_Set1_decend_lgsm_dot.png,0.6025,39,angry,hi_md,1,Set1,decend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_med_med_3_Set1_decend_smlg_dot.png,0.425,39,angry,med_med,3,Set1,decend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_hi_md_1_Set1_ascend_lgsm_dot.png,0.625,39,angry,hi_md,1,Set1,ascend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_lo_lo_1_tab20c_decend_lgsm_dot.png,0.61,39,angry,lo_lo,1,tab20c,decend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_hi_lo_2_tab20c_decend_smlg_dot.png,0.7075,39,angry,hi_lo,2,tab20c,decend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_med_med_2_Paired_decend_lgsm_dot.png,0.3325,39,angry,med_med,2,Paired,decend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_med_lo_3_Pastel1_ascend_smlg_dot.png,0.635,39,angry,med_lo,3,Pastel1,ascend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_hi_md_1_Set1_ascend_smlg_dot.png,0.6175,39,angry,hi_md,1,Set1,ascend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_med_lo_3_Pastel1_decend_smlg_dot.png,0.32,39,angry,med_lo,3,Pastel1,decend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_hi_md_2_tab20_decend_lgsm_dot.png,0.3225,39,angry,hi_md,2,tab20,decend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_hi_md_2_tab20_ascend_smlg_dot.png,0.3175,39,angry,hi_md,2,tab20,ascend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_hi_md_3_Paired_ascend_lgsm_dot.png,0.63,39,angry,hi_md,3,Paired,ascend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_hi_md_2_tab20_ascend_lgsm_dot.png,0.435,39,angry,hi_md,2,tab20,ascend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_hi_md_3_Paired_ascend_smlg_dot.png,0.435,39,angry,hi_md,3,Paired,ascend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_lo_lo_1_tab20c_decend_smlg_dot.png,0.71,39,angry,lo_lo,1,tab20c,decend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_med_lo_2_Pastel2_decend_lgsm_dot.png,0.37,39,angry,med_lo,2,Pastel2,decend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_med_med_1_tab20b_decend_lgsm_dot.png,0.665,39,angry,med_med,1,tab20b,decend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_med_med_2_Paired_ascend_smlg_dot.png,0.565,39,angry,med_med,2,Paired,ascend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_med_lo_2_Pastel2_ascend_smlg_dot.png,0.56,39,angry,med_lo,2,Pastel2,ascend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_med_med_1_tab20b_decend_smlg_dot.png,0.56,39,angry,med_med,1,tab20b,decend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_hi_hi_3_tab10new_ascend_lgsm_dot.png,0.555,39,angry,hi_hi,3,tab10new,ascend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_hi_hi_3_tab10new_decend_lgsm_dot.png,0.115,39,angry,hi_hi,3,tab10new,decend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_med_med_3_Set1_decend_lgsm_dot.png,0.26,39,angry,med_med,3,Set1,decend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_lo_lo_2_Pastel1_ascend_smlg_dot.png,0.7325,39,angry,lo_lo,2,Pastel1,ascend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_lo_lo_3_Pastel2_decend_lgsm_dot.png,0.7275,39,angry,lo_lo,3,Pastel2,decend,lgsm,dot
081p6mmlqm,Angry,images/39_Angry_med_med_2_Paired_decend_smlg_dot.png,0.7275,39,angry,med_med,2,Paired,decend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_hi_lo_3_Paired_decend_smlg_dot.png,0.7275,39,angry,hi_lo,3,Paired,decend,smlg,dot
081p6mmlqm,Angry,images/39_Angry_hi_hi_1_tab20_decend_smlg_dot.png,0.6575,39,angry,hi_hi,1,tab20,decend,smlg,dot
081p6mmlqm,Happy,images/39_Happy_lo_lo_3_tab20_ascend_lgsm_dot.png,0.385,39,happy,lo_lo,3,tab20,ascend,lgsm,dot
081p6mmlqm,Happy,images/39_Happy_hi_hi_3_Paired_decend_lgsm_dot.png,0.845,39,happy,hi_hi,3,Paired,decend,lgsm,dot
081p6mmlqm,Happy,images/39_Happy_med_lo_2_tab20_decend_smlg_dot.png,0.35,39,happy,med_lo,2,tab20,decend,smlg,dot
081p6mmlqm,Happy,images/39_Happy_hi_lo_2_Set1_ascend_smlg_dot.png,0.72,39,happy,hi_lo,2,Set1,ascend,smlg,dot
081p6mmlqm,Happy,images/39_Happy_hi_md_3_Set2_decend_lgsm_dot.png,0.675,39,happy,hi_md,3,Set2,decend,lgsm,dot
081p6mmlqm,Happy,images/39_Happy_hi_lo_2_Set1_decend_lgsm_dot.png,0.3775,39,happy,hi_lo,2,Set1,decend,lgsm,dot
081p6mmlqm,Happy,images/39_Happy_lo_lo_2_tab10new_ascend_lgsm_dot.png,0.6775,39,happy,lo_lo,2,tab10new,ascend,lgsm,dot
081p6mmlqm,Happy,images/39_Happy_lo_lo_3_tab20_ascend_smlg_dot.png,0.6725,39,happy,lo_lo,3,tab20,ascend,smlg,dot
081p6mmlqm,Happy,images/39_Happy_med_med_2_tab20b_ascend_smlg_dot.png,0.6725,39,happy,med_med,2,tab20b,ascend,smlg,dot
081p6mmlqm,Happy,images/39_Happy_med_lo_3_tab10new_ascend_smlg_dot.png,0.6725,39,happy,med_lo,3,tab10new,ascend,smlg,dot
081p6mmlqm,Happy,images/39_Happy_med_med_1_tab20c_ascend_smlg_dot.png,0.6725,39,happy,med_med,1,tab20c,ascend,smlg,dot
081p6mmlqm,Happy,images/39_Happy_hi_lo_3_Dark2_ascend_smlg_dot.png,0.67,39,happy,hi_lo,3,Dark2,ascend,smlg,dot
081p6mmlqm,Happy,images/39_Happy_hi_lo_1_tab20_ascend_smlg_dot.png,0.67,39,happy,hi_lo,1,tab20,ascend,smlg,dot
081p6mmlqm,Happy,images/39_Happy_lo_lo_1_tab20b_decend_lgsm_dot.png,0.2875,39,happy,lo_lo,1,tab20b,decend,lgsm,dot
081p6mmlqm,Happy,images/39_Happy_med_med_3_Set3_ascend_lgsm_dot.png,0.7675,39,happy,med_med,3,Set3,ascend,lgsm,dot
081p6mmlqm,Happy,images/39_Happy_lo_lo_3_tab20_decend_smlg_dot.png,0.7675,39,happy,lo_lo,3,tab20,decend,smlg,dot
081p6mmlqm,Happy,images/39_Happy_med_med_3_Set3_ascend_smlg_dot.png,0.7475,39,happy,med_med,3,Set3,ascend,smlg,dot
081p6mmlqm,Happy,images/39_Happy_med_lo_1_tab20b_decend_smlg_dot.png,0.7525,39,happy,med_lo,1,tab20b,decend,smlg,dot
081p6mmlqm,Happy,images/39_Happy_lo_lo_2_tab10new_ascend_smlg_dot.png,0.665,39,happy,lo_lo,2,tab10new,ascend,smlg,dot
081p6mmlqm,Happy,images/39_Happy_med_med_3_Set3_decend_lgsm_dot.png,0.625,39,happy,med_med,3,Set3,decend,lgsm,dot
081p6mmlqm,Happy,images/39_Happy_hi_md_1_Set1_ascend_smlg_dot.png,0.54,39,happy,hi_md,1,Set1,ascend,smlg,dot
081p6mmlqm,Happy,images/39_Happy_med_lo_2_tab20_decend_lgsm_dot.png,0.395,39,happy,med_lo,2,tab20,decend,lgsm,dot
081p6mmlqm,Happy,images/39_Happy_hi_md_3_Set2_ascend_lgsm_dot.png,0.62,39,happy,hi_md,3,Set2,ascend,lgsm,dot
081p6mmlqm,Happy,images/39_Happy_hi_md_1_Set1_decend_lgsm_dot.png,0.62,39,happy,hi_md,1,Set1,decend,lgsm,dot
081p6mmlqm,Happy,images/39_Happy_hi_hi_3_Paired_ascend_smlg_dot.png,0.685,39,happy,hi_hi,3,Paired,ascend,smlg,dot
081p6mmlqm,Happy,images/39_Happy_hi_lo_1_tab20_ascend_lgsm_dot.png,0.685,39,happy,hi_lo,1,tab20,ascend,lgsm,dot
081p6mmlqm,Happy,images/39_Happy_hi_md_3_Set2_decend_smlg_dot.png,0.675,39,happy,hi_md,3,Set2,decend,smlg,dot
081p6mmlqm,Happy,images/39_Happy_hi_hi_2_tab20_ascend_lgsm_dot.png,0.675,39,happy,hi_hi,2,tab20,ascend,lgsm,dot
081p6mmlqm,Happy,images/39_Happy_hi_hi_2_tab20_decend_smlg_dot.png,0.7975,39,happy,hi_hi,2,tab20,decend,smlg,dot
081p6mmlqm,Happy,images/39_Happy_hi_md_1_Set1_decend_smlg_dot.png,0.7975,39,happy,hi_md,1,Set1,decend,smlg,dot
