subject_id,concept,image_id,response,SubjNum,Emotion,AssocCond,Version,Palette,ColorOrder,YOrder,plot
0rdgw5wke2,Sad,images/31_sad_lo_lo_1_Set1_decend_lgsm_bar.png,0.11,31,sad,lo_lo,1,Set1,decend,lgsm,bar
0rdgw5wke2,Sad,images/31_sad_hi_lo_2_Set1_decend_smlg_bar.png,0.115,31,sad,hi_lo,2,Set1,decend,smlg,bar
0rdgw5wke2,Sad,images/31_sad_hi_md_2_Set1_ascend_smlg_bar.png,0.3175,31,sad,hi_md,2,Set1,ascend,smlg,bar
0rdgw5wke2,Sad,images/31_sad_lo_lo_3_tab20_ascend_smlg_bar.png,0.2225,31,sad,lo_lo,3,tab20,ascend,smlg,bar
0rdgw5wke2,Sad,images/31_sad_hi_hi_1_tab20_decend_lgsm_bar.png,0.675,31,sad,hi_hi,1,tab20,decend,lgsm,bar
0rdgw5wke2,Sad,images/31_sad_hi_lo_2_Set1_decend_lgsm_bar.png,0.34,31,sad,hi_lo,2,Set1,decend,lgsm,bar
0rdgw5wke2,Sad,images/31_sad_hi_md_2_Set1_ascend_lgsm_bar.png,0.17,31,sad,hi_md,2,Set1,ascend,lgsm,bar
0rdgw5wke2,Sad,images/31_sad_hi_hi_3_Set3_ascend_smlg_bar.png,0.5625,31,sad,hi_hi,3,Set3,ascend,smlg,bar
0rdgw5wke2,Sad,images/31_sad_med_lo_1_Set1_ascend_smlg_bar.png,0.295,31,sad,med_lo,1,Set1,ascend,smlg,bar
0rdgw5wke2,Sad,images/31_sad_lo_lo_2_Paired_decend_lgsm_bar.png,0.26,31,sad,lo_lo,2,Paired,decend,lgsm,bar
0rdgw5wke2,Sad,images/31_sad_hi_md_3_Accent_ascend_smlg_bar.png,0.66,31,sad,hi_md,3,Accent,ascend,smlg,bar
0rdgw5wke2,Sad,images/31_sad_hi_lo_3_Accent_ascend_smlg_bar.png,0.22,31,sad,hi_lo,3,Accent,ascend,smlg,bar
0rdgw5wke2,Sad,images/31_sad_med_lo_2_Paired_decend_lgsm_bar.png,0.235,31,sad,med_lo,2,Paired,decend,lgsm,bar
0rdgw5wke2,Sad,images/31_sad_lo_lo_2_Paired_decend_smlg_bar.png,0.225,31,sad,lo_lo,2,Paired,decend,smlg,bar
0rdgw5wke2,Sad,images/31_sad_hi_lo_2_Set1_ascend_lgsm_bar.png,0.115,31,sad,hi_lo,2,Set1,ascend,lgsm,bar
